City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Anaco,VE,9.44,-64.47,88.95,53,77,8.05,light rain,0.0,0.0
Coahuayana Viejo,MX,18.73,-103.68,78.80,44,5,5.53,clear sky,0.0,0.0
Sharjah city,AE,25.36,55.40,93.20,49,0,4.7,clear sky,0.0,0.0
Ilulissat,GL,69.22,-51.10,33.80,64,75,5.82,broken clouds,0.0,0.0
Yar-Sale,RU,66.83,70.83,47.21,53,99,6.22,overcast clouds,0.0,0.0
Kindu,CD,-2.95,25.95,79.09,69,44,1.25,scattered clouds,0.0,0.0
Aliwal North,ZA,-30.69,26.71,37.74,69,52,4.36,broken clouds,0.0,0.0
Kangaatsiaq,GL,68.31,-53.46,31.60,93,45,9.31,scattered clouds,0.0,0.0
Cidreira,BR,-30.18,-50.21,60.12,64,60,8.52,broken clouds,0.0,0.0
Mehrān,IR,33.12,46.16,82.40,20,0,4.7,clear sky,0.0,0.0
Gweta,BW,-20.18,25.23,61.52,26,0,5.3,clear sky,0.0,0.0
Portland,US,45.52,-122.68,62.01,82,20,3.36,few clouds,0.0,0.0
Buckeye,US,33.37,-112.58,91.99,19,1,5.14,clear sky,0.0,0.0
Tiksi,RU,71.69,128.87,26.55,96,100,5.77,overcast clouds,0.0,0.0
Anadyr,RU,64.75,177.48,35.60,92,40,13.42,scattered clouds,0.0,0.0
Olafsvik,IS,64.89,-23.71,44.91,90,100,27.94,moderate rain,0.1,0.0
Pevek,RU,69.70,170.31,36.10,82,75,14.7,broken clouds,0.0,0.0
Barranca,PE,-10.75,-77.77,71.35,68,15,9.35,few clouds,0.0,0.0
Nanortalik,GL,60.14,-45.24,38.01,85,96,6.85,overcast clouds,0.0,0.0
Yasenskaya,RU,46.36,38.27,68.45,83,23,12.93,light rain,0.0,0.0
Suntar,RU,62.14,117.63,45.95,90,100,8.79,light rain,0.0,0.0
Thinadhoo,MV,0.53,72.93,84.43,72,18,8.16,few clouds,0.0,0.0
Caucayá,CO,-0.19,-74.78,81.64,82,54,2.91,moderate rain,0.0,0.0
Ponta do Sol,PT,32.67,-17.10,69.80,68,20,5.82,few clouds,0.0,0.0
Ribeira Grande,PT,38.52,-28.70,69.80,64,40,6.93,scattered clouds,0.0,0.0
Narsaq,GL,60.92,-46.05,42.80,75,75,11.41,broken clouds,0.0,0.0
Savannah Bight,HN,16.45,-85.85,83.91,80,87,7.76,overcast clouds,0.0,0.0
Ugoofaaru,MV,5.67,73.00,83.70,79,81,15.55,moderate rain,0.1,0.0
Pyaozerskiy,RU,65.83,31.17,56.23,59,100,11.92,overcast clouds,0.0,0.0
Arrondissement de Bernay,FR,49.17,0.67,75.99,56,37,8.99,scattered clouds,0.0,0.0
Poli,TZ,-3.33,36.80,61.56,84,26,2.26,scattered clouds,0.0,0.0
Nuuk,GL,64.18,-51.72,37.40,86,75,12.75,broken clouds,0.0,0.0
Hemsedal,NO,60.86,8.55,46.00,51,43,4.0,scattered clouds,0.0,0.0
Tabory,RU,58.52,64.55,56.68,69,100,6.96,overcast clouds,0.0,0.0
Jingdezhen,CN,29.29,117.21,68.79,87,76,1.72,broken clouds,0.0,0.0
Tres Arroyos,AR,-38.37,-60.28,64.76,48,0,8.28,clear sky,0.0,0.0
Uruçuí,BR,-7.23,-44.56,89.65,52,76,3.47,light rain,0.0,0.0
Zabaykal'sk,RU,49.63,117.32,60.21,36,68,9.4,broken clouds,0.0,0.0
Pismo Beach,US,35.14,-120.64,75.00,100,90,3.96,fog,0.0,0.0
Laguna,US,38.42,-121.42,87.01,47,1,3.36,clear sky,0.0,0.0
Walvis Bay,NA,-22.96,14.51,71.60,37,0,8.05,clear sky,0.0,0.0
Hilo,US,19.73,-155.09,73.40,73,90,5.82,overcast clouds,0.0,0.0
Coyhaique,CL,-45.58,-72.07,48.20,66,75,3.36,broken clouds,0.0,0.0
Dunedin,NZ,-45.87,170.50,46.99,91,10,1.01,clear sky,0.0,0.0
Mandalgovi,MN,45.76,106.27,65.21,26,71,12.3,broken clouds,0.0,0.0
Mehamn,NO,71.04,27.85,46.40,75,94,5.82,overcast clouds,0.0,0.0
Springbok,ZA,-29.66,17.89,47.66,50,9,3.2,clear sky,0.0,0.0
Salina Cruz,MX,16.17,-95.20,93.02,43,94,3.89,overcast clouds,0.0,0.0
Luzino,RU,54.95,73.04,57.20,47,0,4.47,clear sky,0.0,0.0
West Richland,US,46.30,-119.36,71.60,28,1,6.73,clear sky,0.0,0.0
Molchanovo,RU,57.58,83.77,43.72,78,16,5.91,few clouds,0.0,0.0
Kahului,US,20.89,-156.47,73.40,73,20,7.25,few clouds,0.0,0.0
Kasane,BW,-17.82,25.15,69.80,46,0,4.7,clear sky,0.0,0.0
Leningradskiy,RU,69.38,178.42,33.58,89,97,4.88,overcast clouds,0.0,0.0
Ardakān,IR,32.31,54.02,93.20,10,20,9.17,few clouds,0.0,0.0
Albany,US,42.60,-73.97,86.00,53,23,7.99,few clouds,0.0,0.0
Tuatapere,NZ,-46.13,167.68,41.68,80,0,3.15,clear sky,0.0,0.0
Srednekolymsk,RU,67.45,153.68,47.48,51,0,12.21,clear sky,0.0,0.0
Merauke,ID,-8.47,140.33,77.16,88,35,12.71,scattered clouds,0.0,0.0
Batagay-Alyta,RU,67.80,130.41,31.96,94,100,7.47,overcast clouds,0.0,0.0
Biltine,TD,14.53,20.92,94.77,9,37,9.75,scattered clouds,0.0,0.0
Gudāri,IN,19.35,83.78,83.62,73,98,5.1,overcast clouds,0.0,0.0
Bria,CF,6.54,21.99,76.57,83,99,1.19,light rain,0.0,0.0
Alice Springs,AU,-23.70,133.88,51.80,62,0,5.82,clear sky,0.0,0.0
Coruripe,BR,-10.13,-36.18,84.76,72,33,8.34,light rain,0.0,0.0
Copiapó,CL,-27.37,-70.33,62.60,63,75,3.36,broken clouds,0.0,0.0
Kapaa,US,22.08,-159.32,73.40,83,20,11.41,few clouds,0.0,0.0
Tivaouane,SN,14.95,-16.81,82.40,61,14,14.99,few clouds,0.0,0.0
Pimentel,PE,-6.84,-79.93,78.80,61,96,4.7,overcast clouds,0.0,0.0
Dingle,PH,11.00,122.67,80.53,76,28,3.2,scattered clouds,0.0,0.0
Roswell,US,34.02,-84.36,69.01,94,90,8.05,mist,0.2,0.0
Edwardsville,US,38.81,-89.95,69.01,100,90,6.93,moderate rain,0.1,0.0
Trincomalee,LK,8.57,81.23,82.92,78,43,17.29,scattered clouds,0.0,0.0
Deputatsky,RU,69.30,139.90,34.95,100,100,4.59,overcast clouds,0.0,0.0
Coquimbo,CL,-29.95,-71.34,59.00,67,90,4.7,overcast clouds,0.0,0.0
Āreka,ET,7.07,37.70,63.97,86,50,2.91,light rain,0.0,0.0
Pisco,PE,-13.70,-76.22,66.99,82,90,6.93,overcast clouds,0.0,0.0
Kumul,CN,42.80,93.45,77.00,18,2,2.1,clear sky,0.0,0.0
Meulaboh,ID,4.14,96.13,80.58,84,100,4.23,overcast clouds,0.0,0.0
Lahaina,US,20.88,-156.68,73.40,78,20,17.22,few clouds,0.0,0.0
Prince Albert,CA,53.20,-105.77,51.80,71,75,14.99,light rain,0.0,0.0
Newnan,US,33.38,-84.80,71.60,94,90,6.93,light rain,0.0,0.0
Salinópolis,BR,-0.61,-47.36,84.94,67,27,10.04,scattered clouds,0.0,0.0
Coos Bay,US,43.37,-124.22,64.00,82,1,7.7,clear sky,0.0,0.0
Bālāghāt,IN,21.80,80.18,88.90,16,16,2.37,few clouds,0.0,0.0
Olinda,BR,-8.01,-34.86,86.00,74,20,8.05,thunderstorm,0.0,0.0
Aleksandrovskoye,RU,44.71,43.00,71.60,53,94,15.66,overcast clouds,0.0,0.0
Haines Junction,CA,60.75,-137.51,49.10,49,54,1.83,broken clouds,0.0,0.0
Curicó,CL,-34.98,-71.23,57.00,100,90,4.7,mist,0.0,0.0
Arrondissement de Saint-Denis,FR,48.92,2.33,79.00,38,28,10.29,scattered clouds,0.0,0.0
Wattegama,LK,6.80,81.48,80.60,100,40,8.05,scattered clouds,0.0,0.0
Diego de Almagro,CL,-26.37,-70.05,77.63,21,0,6.89,clear sky,0.0,0.0
Canutama,BR,-6.53,-64.38,89.62,47,85,4.36,overcast clouds,0.0,0.0
Aklavik,CA,68.22,-135.01,39.20,69,75,3.36,broken clouds,0.0,0.0
Alcúdia,ES,39.85,3.12,82.40,39,0,11.41,clear sky,0.0,0.0
Champerico,GT,14.30,-91.92,80.60,78,75,6.93,broken clouds,0.0,0.0
Bandarbeyla,SO,9.49,50.81,81.88,79,28,18.21,scattered clouds,0.0,0.0
Dourbali,TD,11.81,15.86,103.46,16,9,7.45,clear sky,0.0,0.0
Waipawa,NZ,-41.41,175.52,51.80,81,96,8.05,overcast clouds,0.0,0.0
Hualmay,PE,-11.10,-77.61,71.65,67,3,8.7,clear sky,0.0,0.0
Krutaya Gorka,RU,55.36,73.22,57.20,47,0,4.47,clear sky,0.0,0.0
Longyearbyen,SJ,78.22,15.64,44.60,70,75,6.93,broken clouds,0.0,0.0
Paamiut,GL,61.99,-49.67,35.82,89,95,5.84,overcast clouds,0.0,0.0
Vila Franca do Campo,PT,37.72,-25.43,69.80,64,20,14.99,few clouds,0.0,0.0
Cedartown,US,34.05,-85.25,72.00,95,100,5.1,moderate rain,0.1,0.0
Sept-Îles,CA,50.20,-66.38,59.00,64,75,16.11,broken clouds,0.0,0.0
Ossora,RU,59.24,163.07,31.19,96,87,4.7,overcast clouds,0.0,0.0
Bilibino,RU,68.05,166.44,32.88,87,12,2.51,few clouds,0.0,0.0
Cobija,BO,-11.03,-68.77,84.20,54,40,3.36,scattered clouds,0.0,0.0
Qaanaaq,GL,77.48,-69.36,31.51,93,53,5.26,broken clouds,0.0,0.0
Vestmannaeyjar,IS,63.44,-20.27,46.40,87,75,18.34,shower rain,0.0,0.0
Kungurtug,RU,50.60,97.52,41.79,82,100,6.71,light rain,0.0,0.0
Westport,US,41.14,-73.36,73.99,81,67,1.99,broken clouds,0.0,0.0
Bathsheba,BB,13.22,-59.52,87.80,66,40,20.8,scattered clouds,0.0,0.0
Yellowknife,CA,62.46,-114.35,44.01,52,20,5.82,few clouds,0.0,0.0
Tirat Carmel,IL,32.76,34.97,73.40,73,20,9.17,few clouds,0.0,0.0
Ilhabela,BR,-23.78,-45.36,69.57,62,17,9.86,few clouds,0.0,0.0
Roald,NO,62.58,6.13,50.00,81,40,19.46,scattered clouds,0.0,0.0
Huanren,CN,41.26,125.37,50.47,89,100,2.01,overcast clouds,0.0,0.0
Qasigiannguit,GL,68.82,-51.19,33.80,64,75,5.82,broken clouds,0.0,0.0
Rocha,UY,-34.48,-54.33,64.38,53,0,4.23,clear sky,0.0,0.0
São Félix do Xingu,BR,-6.64,-51.99,88.41,55,7,2.08,clear sky,0.0,0.0
Buraidah,SA,26.33,43.98,98.60,17,13,6.93,few clouds,0.0,0.0
Pangnirtung,CA,66.15,-65.71,30.20,74,90,13.87,overcast clouds,0.0,0.0
Sørland,NO,67.67,12.69,44.60,87,75,25.28,light intensity shower rain,0.0,0.0
Angoram,PG,-4.06,144.07,75.02,98,11,0.94,few clouds,0.0,0.0
Ola,RU,59.58,151.28,37.60,77,53,13.76,broken clouds,0.0,0.0
Ostrovnoy,RU,68.05,39.51,49.12,76,10,8.52,clear sky,0.0,0.0
Tasiilaq,GL,65.61,-37.64,39.20,64,75,11.41,broken clouds,0.0,0.0
Los Llanos de Aridane,ES,28.66,-17.92,73.40,73,1,5.82,clear sky,0.0,0.0
Rørvik,NO,64.86,11.24,48.20,87,75,14.99,shower rain,0.0,0.0
Iisalmi,FI,63.56,27.19,60.80,55,100,10.29,moderate rain,0.1,0.0
Upernavik,GL,72.79,-56.15,30.07,95,88,2.48,overcast clouds,0.0,0.0
Shelburne,CA,44.08,-80.20,86.00,42,20,12.75,few clouds,0.0,0.0
Atbasar,KZ,51.80,68.33,60.42,51,0,9.48,clear sky,0.0,0.0
Kyren,RU,51.68,102.14,40.84,78,100,3.51,overcast clouds,0.0,0.0
Lusambo,CD,-4.97,23.45,81.91,50,89,1.34,overcast clouds,0.0,0.0
Ouallam,NE,14.32,2.09,100.26,25,61,9.08,broken clouds,0.0,0.0
Puerto Ayora,EC,-0.74,-90.35,80.60,69,40,5.82,scattered clouds,0.0,0.0
Usinsk,RU,65.99,57.53,57.45,46,100,5.17,overcast clouds,0.0,0.0
Tabou,CI,4.42,-7.35,82.69,76,41,10.4,scattered clouds,0.0,0.0
Yibin,CN,28.77,104.62,64.00,88,100,2.1,overcast clouds,0.0,0.0
Tutóia,BR,-2.76,-42.27,85.23,67,22,9.93,few clouds,0.0,0.0
Honningsvåg,NO,70.98,25.97,46.40,87,75,1.12,light intensity drizzle,0.0,0.0
Manzhouli,CN,49.60,117.43,60.06,35,63,8.95,broken clouds,0.0,0.0
Nushki,PK,29.55,66.02,84.60,13,0,4.79,clear sky,0.0,0.0
Tsagan Aman,RU,47.56,46.72,68.99,53,64,7.52,broken clouds,0.0,0.0
Bengkulu,ID,-3.80,102.27,76.37,89,100,10.16,light rain,0.0,0.0
Biggar,GB,55.62,-3.52,66.99,48,45,11.41,scattered clouds,0.0,0.0
Phalaborwa,ZA,-23.94,31.14,66.20,22,16,2.24,few clouds,0.0,0.0
Verkhoyansk,RU,67.54,133.38,41.05,70,100,6.44,overcast clouds,0.0,0.0
Hermanus,ZA,-34.42,19.23,55.99,73,52,8.01,broken clouds,0.0,0.0
Emerald,AU,-23.53,148.17,57.20,67,51,1.72,broken clouds,0.0,0.0
Nyurba,RU,63.28,118.33,48.85,68,100,8.88,overcast clouds,0.0,0.0
Matadi,CD,-5.82,13.45,83.98,65,80,4.61,broken clouds,0.0,0.0
Pontal do Paraná,BR,-25.65,-48.51,69.01,34,0,5.82,clear sky,0.0,0.0
Esperance,AU,-33.87,121.90,53.60,76,40,14.99,scattered clouds,0.0,0.0
Butaritari,KI,3.07,172.79,81.18,77,94,6.73,overcast clouds,0.0,0.0
Kardamena,GR,36.78,27.14,66.20,59,40,13.87,scattered clouds,0.0,0.0
Biak,ID,-0.91,122.88,78.91,77,13,3.74,few clouds,0.0,0.0
Shimoda,JP,34.67,138.95,64.00,80,98,1.99,overcast clouds,0.0,0.0
Puerto El Triunfo,SV,13.28,-88.55,82.40,94,40,2.24,scattered clouds,0.0,0.0
Lagoa,PT,39.05,-27.98,61.86,80,4,18.41,clear sky,0.0,0.0
Kasulu,TZ,-4.58,30.10,68.20,79,19,0.49,few clouds,0.0,0.0
Sioux Lookout,CA,50.10,-91.92,69.80,68,75,12.75,broken clouds,0.0,0.0
Feijó,BR,-8.16,-70.35,88.63,46,30,3.91,scattered clouds,0.0,0.0
Turukhansk,RU,65.82,87.98,39.96,69,5,8.03,clear sky,0.0,0.0
Katsuura,JP,35.13,140.30,69.01,76,96,3.0,overcast clouds,0.0,0.0
Wahiawā,US,21.50,-158.02,78.80,78,20,5.82,few clouds,0.0,0.0
Zatoka,UA,46.07,30.47,69.80,43,20,4.47,few clouds,0.0,0.0
Saint-Joseph,RE,-21.37,55.62,71.60,83,19,5.82,few clouds,0.0,0.0
Winnemucca,US,40.97,-117.74,71.60,43,1,9.17,clear sky,0.0,0.0
Chokurdakh,RU,70.63,147.92,47.75,52,97,14.74,overcast clouds,0.0,0.0
Half Moon Bay,US,37.46,-122.43,75.99,64,5,3.91,clear sky,0.0,0.0
Ushuaia,AR,-54.80,-68.30,39.20,72,98,5.82,overcast clouds,0.0,0.0
Quatre Cocos,MU,-20.21,57.76,75.99,83,40,11.41,shower rain,0.0,0.0
Baraki Barak,AF,33.97,68.95,71.60,43,1,6.93,clear sky,0.0,0.0
Luanda,AO,-8.84,13.23,78.80,74,20,6.93,few clouds,0.0,0.0
Santa Cruz de la Sierra,BO,-17.80,-63.17,82.40,37,0,9.17,clear sky,0.0,0.0
Mwinilunga,ZM,-11.74,24.43,66.90,44,65,4.05,broken clouds,0.0,0.0
Vágur,FO,61.47,-6.81,47.93,81,70,16.89,broken clouds,0.0,0.0
Quesnel,CA,53.00,-122.50,48.20,70,1,2.24,clear sky,0.0,0.0
Wanning,CN,18.80,110.40,79.02,87,72,5.01,broken clouds,0.0,0.0
Madison,US,34.73,-86.57,71.01,94,90,6.93,light rain,0.0,0.0
Santa Maria,BR,-29.68,-53.81,66.20,55,1,4.7,clear sky,0.0,0.0
Muros,ES,42.78,-9.06,91.00,57,0,10.0,clear sky,0.0,0.0
Vestmanna,FO,62.16,-7.17,50.00,71,92,14.99,overcast clouds,0.0,0.0
Nikolskoye,RU,59.70,30.79,68.00,32,52,8.95,broken clouds,0.0,0.0
Témiscaming,CA,46.72,-79.10,91.99,51,40,11.41,scattered clouds,0.0,0.0
Sobolevo,RU,54.43,31.90,56.46,79,100,4.29,overcast clouds,0.0,0.0
Lamballe,FR,48.47,-2.51,73.00,50,0,7.0,clear sky,0.0,0.0
São Filipe,CV,14.90,-24.50,78.98,60,20,6.15,few clouds,0.0,0.0
Lubango,AO,-14.92,13.49,61.66,37,86,3.36,overcast clouds,0.0,0.0
Camocim,BR,-2.90,-40.84,85.17,72,12,7.61,few clouds,0.0,0.0
Rome,US,43.21,-75.46,86.00,55,1,5.82,clear sky,0.0,0.0
Atuona,PF,-9.80,-139.03,80.53,74,19,6.4,light rain,0.0,0.0
Saint-Philippe,RE,-21.36,55.77,73.40,83,32,5.82,scattered clouds,0.0,0.0
Lafia,NG,8.48,8.52,89.62,62,45,4.43,scattered clouds,0.0,0.0
Ponta Delgada,PT,37.73,-25.67,69.80,64,20,14.99,few clouds,0.0,0.0
Berlevåg,NO,70.86,29.09,46.40,81,75,4.7,broken clouds,0.0,0.0
Viedma,AR,-40.81,-63.00,62.98,33,0,18.45,clear sky,0.0,0.0
Saquena,PE,-4.67,-73.52,90.39,49,26,4.32,scattered clouds,0.0,0.0
Kaitangata,NZ,-46.28,169.85,44.01,91,38,1.01,scattered clouds,0.0,0.0
Avera,US,33.19,-82.53,73.40,75,90,6.93,overcast clouds,0.0,0.0
Talaya,RU,61.38,152.75,29.07,89,0,5.14,clear sky,0.0,0.0
Ponta do Sol,PT,32.67,-17.10,69.80,68,20,5.82,few clouds,0.0,0.0
Saint-Pierre,RE,-21.34,55.48,71.60,83,9,5.82,clear sky,0.0,0.0
Hirado,JP,33.36,129.55,59.00,88,32,7.63,scattered clouds,0.0,0.0
Kamenka,RU,51.32,42.77,63.00,72,36,1.01,scattered clouds,0.0,0.0
Codrington,AU,-38.27,141.97,49.73,93,79,8.16,broken clouds,0.0,0.0
Mar del Plata,AR,-38.00,-57.56,66.00,72,0,14.99,clear sky,0.0,0.0
Santa Marta,CO,11.24,-74.20,87.80,74,75,8.05,broken clouds,0.0,0.0
Sibu,MY,2.30,111.82,78.80,94,75,2.24,broken clouds,0.0,0.0
Labuhan,ID,-6.88,112.21,80.40,82,94,4.52,overcast clouds,0.0,0.0
Flin Flon,CA,54.77,-101.86,51.80,93,90,2.24,light rain,0.0,0.0
Faanui,PF,-16.48,-151.75,80.58,79,7,11.5,light rain,0.0,0.0
Gescher,DE,51.95,7.00,70.00,42,53,3.0,broken clouds,0.0,0.0
Hirara,JP,24.80,125.28,78.24,86,79,6.82,broken clouds,0.0,0.0
Heihe,CN,50.24,127.49,51.80,71,2,2.24,clear sky,0.0,0.0
Huarmey,PE,-10.07,-78.15,73.18,66,36,9.24,scattered clouds,0.0,0.0
Lompoc,US,34.64,-120.46,66.20,82,1,5.82,clear sky,0.0,0.0
Mitsamiouli,KM,-11.38,43.28,79.43,69,8,6.35,clear sky,0.0,0.0
Lebu,CL,-37.62,-73.65,56.73,71,0,18.1,clear sky,0.0,0.0
Thompson,CA,55.74,-97.86,46.40,81,90,8.05,overcast clouds,0.0,0.0
Langsa,ID,4.47,97.97,77.18,91,86,1.72,overcast clouds,0.0,0.0
Mossamedes,AO,-15.20,12.15,73.38,69,14,6.8,few clouds,0.0,0.0
Yenagoa,NG,4.92,6.26,78.15,92,85,7.74,light rain,0.0,0.0
Tyret’ Pervaya,RU,53.67,102.31,42.87,65,87,9.69,overcast clouds,0.0,0.0
Havre-St-Pierre,CA,50.23,-63.60,53.60,50,75,13.87,broken clouds,0.0,0.0
Agirish,RU,61.92,63.02,57.87,65,85,6.96,overcast clouds,0.0,0.0
Necochea,AR,-38.55,-58.74,66.00,60,0,4.0,clear sky,0.0,0.0
Tawang Town,IN,27.58,91.87,46.89,73,93,3.38,overcast clouds,0.0,0.0
Amahai,ID,-3.33,128.92,82.99,94,89,3.22,overcast clouds,0.0,0.0
The Valley,AI,18.22,-63.06,87.80,66,40,12.75,scattered clouds,0.0,0.0
Talnakh,RU,69.49,88.40,37.40,74,99,11.18,light snow,0.0,0.0
Marquette,US,46.53,-87.63,80.01,73,88,1.01,overcast clouds,0.0,0.0
Kalianget,ID,-7.05,113.93,82.24,79,64,6.85,light rain,0.0,0.0
Chumikan,RU,54.72,135.31,36.37,95,100,2.68,overcast clouds,0.0,0.0
Florianópolis,BR,-27.61,-48.50,70.00,49,0,8.05,clear sky,0.0,0.0
Menomonie,US,44.88,-91.92,72.00,100,90,8.05,light rain,0.0,0.0
Bredasdorp,ZA,-34.53,20.04,57.20,58,56,12.75,broken clouds,0.0,0.0
Dakar,SN,14.69,-17.44,84.20,58,0,4.7,clear sky,0.0,0.0
Oriximiná,BR,-1.77,-55.87,88.66,58,54,5.73,broken clouds,0.0,0.0
Lixouri,GR,38.20,20.43,63.00,53,79,12.28,broken clouds,0.0,0.0
Apatou,GF,5.16,-54.35,88.18,60,29,6.29,scattered clouds,0.0,0.0
Marsh Harbour,BS,26.54,-77.06,80.89,81,71,12.93,broken clouds,0.0,0.0
Smithers,CA,54.78,-127.17,42.80,70,20,2.24,few clouds,0.0,0.0
Sartell,US,45.62,-94.21,75.00,64,1,4.7,clear sky,0.0,0.0
Zemio,CF,5.03,25.14,75.40,86,95,2.21,light rain,0.0,0.0
Neiafu,TO,-18.65,-173.98,68.00,100,20,7.38,few clouds,0.0,0.0
Igrim,RU,63.19,64.42,55.20,88,100,2.33,light rain,0.0,0.0
Ubari,LY,26.59,12.78,93.92,16,35,1.74,scattered clouds,0.0,0.0
Znamenskoye,RU,57.13,73.83,48.85,71,4,1.7,clear sky,0.0,0.0
Dikson,RU,73.51,80.55,31.33,99,100,6.26,overcast clouds,0.0,0.0
Camopi,GF,3.17,-52.32,80.62,93,46,5.06,moderate rain,0.1,0.0
Kavieng,PG,-2.57,150.80,82.90,72,90,4.99,light rain,0.0,0.0
Khandyga,RU,62.67,135.60,55.17,88,89,9.35,light rain,0.0,0.0
Rio Grande,BR,-32.03,-52.10,66.20,48,4,6.93,clear sky,0.0,0.0
Nador,MA,35.17,-2.93,69.80,83,90,9.17,overcast clouds,0.0,0.0
Belyy Yar,RU,53.60,91.39,46.40,70,91,2.24,overcast clouds,0.0,0.0
Cayenne,GF,4.93,-52.33,86.00,66,75,14.99,broken clouds,0.0,0.0
Turaif,SA,31.67,38.66,95.00,13,40,6.93,scattered clouds,0.0,0.0
Vaini,TO,-21.20,-175.20,68.00,94,20,2.24,few clouds,0.0,0.0
Airai,TL,-8.93,125.41,60.44,100,61,1.45,light rain,0.0,0.0
La Paz,BO,-16.50,-68.15,55.40,9,0,9.17,clear sky,0.0,0.0
Nabire,ID,-3.37,135.48,77.11,87,97,3.11,overcast clouds,0.0,0.0
Kieta,PG,-6.22,155.63,80.22,74,82,3.49,light rain,0.0,0.0
Al Bardīyah,LY,31.76,25.09,67.87,62,0,14.5,clear sky,0.0,0.0
Geraldton,AU,-28.77,114.60,60.80,82,90,9.17,overcast clouds,0.0,0.0
Aranos,NA,-24.13,19.12,49.03,40,0,5.88,clear sky,0.0,0.0
Green Valley,US,31.85,-110.99,89.01,12,1,3.36,clear sky,0.0,0.0
Taltal,CL,-25.40,-70.48,64.11,62,17,4.32,few clouds,0.0,0.0
Alpena,US,45.06,-83.43,86.00,55,40,10.29,scattered clouds,0.0,0.0
Avarua,CK,-21.21,-159.78,69.80,94,21,1.12,few clouds,0.0,0.0
Saint-Pierre,RE,-21.34,55.48,71.60,83,9,5.82,clear sky,0.0,0.0
