City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Sinnamary,GF,82.29,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
Lorengau,PG,80.78,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
Marathon,US,75.99,clear sky,44.9,-89.77,NA
Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
Ovalle,CL,82.45,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
Hingatungan,PH,81.16,clear sky,10.58,125.19,NA
Sapa,PH,82.51,scattered clouds,5.15,120.32,NA
Owando,CG,77.85,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
Luís Correia,BR,82.78,clear sky,-2.88,-41.67,Hotel Amarração
Saint George,US,75.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Mattru,SL,78.78,light rain,7.62,-11.83,Boima Gbondo's Compound
Namatanai,PG,78.89,scattered clouds,-3.67,152.43,Namatanai Hotel
Durango,MX,78.31,clear sky,24.83,-104.83,NA
Tual,ID,80.92,overcast clouds,-5.67,132.75,Grand Vilia Hotel
San Patricio,MX,80.6,few clouds,19.22,-104.7,Hotel Cabo Blanco
São João da Barra,BR,77.0,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
Anloga,GH,77.0,few clouds,5.79,0.9,Dey Lodge
Dzaoudzi,YT,78.8,broken clouds,-12.79,45.27,Le Rocher
Mabaruma,GY,81.25,moderate rain,8.2,-59.78,NA
Nizwá,OM,84.79,clear sky,22.93,57.53,Orient Apartments
Samarai,PG,79.39,few clouds,-10.62,150.67,Nuli Sapi
Waingapu,ID,77.58,broken clouds,-9.66,120.26,Pondok Wisata Elim
Sorong,ID,79.2,broken clouds,-0.88,131.25,The Waigo Hotel
Esim,GH,80.62,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
Tawao,MY,77.0,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
Tonantins,BR,84.85,overcast clouds,-2.87,-67.8,Hotel Rei Davi
Vila Velha,BR,75.99,broken clouds,-20.33,-40.29,Hotel Vitória Palace
Williamsport,US,77.0,broken clouds,41.24,-77.0,Hampton Inn Williamsport-Downtown
Hithadhoo,MV,83.68,overcast clouds,-0.6,73.08,Scoop Guest House
Sabang,ID,83.53,moderate rain,5.89,95.32,Hotel Citra
Basco,PH,82.72,clear sky,20.45,121.97,Nathaniel's Lodge
Phan Thiet,VN,79.59,light rain,10.93,108.1,Hotel Saigon-PT
Una,IN,83.39,clear sky,20.82,71.03,Hotel Ghanshyam
Deming,US,80.6,clear sky,32.27,-107.76,Best Western Deming Southwest Inn
Kudahuvadhoo,MV,83.79,light rain,2.67,72.89,Kudahuvadhoo Retreat
Narasannapeta,IN,83.73,broken clouds,18.42,84.05,G.lingaraju home
Wewak,PG,79.25,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
Mogadishu,SO,81.36,clear sky,2.04,45.34,Hotel Juba
Quang Ngai,VN,79.79,overcast clouds,15.12,108.8,Central Hotel
Kifrī,IQ,76.19,clear sky,34.7,44.97,میزان کفری
Caravelas,BR,77.83,light rain,-17.71,-39.25,Pousada dos Navegantes
Yangi Marg`ilon,UZ,80.6,clear sky,40.43,71.72,"Hotel ""Ikathouse"""
Anori,BR,83.41,light rain,-3.77,-61.64,Novo Hotel 05 Irmaos
Distrikt Brokopondo,SR,80.19,overcast clouds,4.75,-55.17,Matu Island
Corn Island,NI,84.6,broken clouds,12.17,-83.04,Big Fish Guest House
Gorontalo,ID,76.48,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
Kunduz,AF,82.6,clear sky,36.73,68.86,قريشي مارکيٹ
Arraial do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
Bambanglipuro,ID,78.12,light rain,-7.95,110.28,Puri Brata
Bac Lieu,VN,84.79,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
Ābdānān,IR,80.49,clear sky,32.99,47.42,سیروس عنبری
